,Condition,Cylinders,Drive,Fuel,Link,Make,Model,Odometer,Paint_color,Price,Size,Title,Title_status,Transmission,Type,Unnamed: 0,VIN,Year,id
93, good,,, gas,https://losangeles.craigslist.org/lgb/cto/d/2010-clean-title-honda-accord/6704851152.html,Honda,Accord,127000, black,4500.0,,2010 clean title Honda Accord, clean, automatic,,, 1hgcp2f34aa056185,2010,93.0
94, good, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/ant/cto/d/honda-accord-2008/6704636545.html,Honda,Accord,120000, silver,5299.0, compact,Honda accord  2008, salvage, automatic, sedan,,,2008,94.0
95, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/2012-honda-accord-exl/6686602415.html,Honda,Accord,24000,,9500.0,,2012 Honda Accord EXL, salvage, automatic,,,,2012,95.0
96, like new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sfv/cto/d/honda-accord-sport/6704469373.html,Honda,Accord,31000, silver,17500.0, full-size,HONDA ACCORD SPORT, clean, automatic, sedan,,,2014,96.0
97, excellent, 6 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/honda-accord/6704182098.html,Honda,Accord,52000, white,8500.0, compact,Honda Accord, salvage, automatic, sedan,,,2014,97.0
98, excellent, 4 cylinders,, gas,https://losangeles.craigslist.org/lgb/cto/d/2011-honda-accord-lx/6694559230.html,Honda,Accord,147000,,7600.0,,2011 Honda Accord LX, clean, automatic,,,,2011,98.0
99, good, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sgv/cto/d/2009-honda-accord-lx-sedan/6703878640.html,Honda,Accord,135456, silver,8500.0, mid-size,2009 Honda Accord LX sedan, clean, automatic, sedan,,,2009,99.0
100, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sgv/cto/d/2015-honda-accord-ex-4d-sedan/6703435161.html,Honda,Accord,66045, white,15500.0, mid-size,2015 Honda Accord EX 4D Sedan, clean, automatic, sedan,, 1HGCR2F75FA067328,2015,100.0
101, excellent, 4 cylinders,, gas,https://losangeles.craigslist.org/lac/cto/d/2017-honda-accord/6698297571.html,Honda,Accord,2219, blue,14899.0,,2017 Honda Accord, salvage, automatic,,, 1HGCR2F58HA268223,2017,101.0
102, excellent, 6 cylinders, fwd, gas,https://losangeles.craigslist.org/sgv/cto/d/2015-honda-accord-2d-coupe-v6/6693800851.html,Honda,Accord,43323, silver,18500.0,,2015 HONDA ACCORD 2D COUPE V6 EX-L, clean, automatic, coupe,,,2015,102.0
103, like new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sgv/cto/d/2014-honda-accord-coupe/6702986540.html,Honda,Accord,65000, silver,12500.0,,2014 Honda Accord Coupe, clean, automatic, coupe,,,2014,103.0
104, good, 4 cylinders, 4wd, gas,https://losangeles.craigslist.org/sfv/cto/d/2012-honda-accordmiles-single/6702852053.html,Honda,Accord,22000, silver,12500.0, full-size,2012 Honda Accord 22000 miles Single Owner No Accident, clean, automatic, sedan,,,2012,104.0
105, excellent, 6 cylinders,, gas,https://losangeles.craigslist.org/lac/cto/d/honda-accord-2015/6680978200.html,Honda,Accord,58000,,11500.0,,Honda Accord 2015, salvage, automatic,,,,2015,105.0
106, like new, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sfv/cto/d/2016-honda-accord/6697402950.html,Honda,Accord,15500, silver,21500.0, full-size,2016 HONDA ACCORD, clean, automatic, coupe,, 1HGCT1B38GA008984,2016,106.0
107, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/sfv/cto/d/2016-honda-accord-lx/6702223468.html,Honda,Accord,10500, black,20500.0,,2016 Honda Accord LX, clean, automatic,,,,2016,107.0
108, excellent, 4 cylinders, fwd, gas,https://losangeles.craigslist.org/lac/cto/d/2012-honda-accord-se/6679264824.html,Honda,Accord,49500, grey,11500.0, full-size,2012 Honda Accord SE, clean, automatic, sedan,, 1HGCP2F63CA026947,2012,108.0
