,Title,Make,Model,Year,condition,cylinders,drive,fuel,odometer,paint_color,size,title_status,transmission,type,Price,VIN,Link
84,2012 Honda Accord EXL Fully Loaded,Honda,Accord,2012, excellent, 6 cylinders, fwd, gas,50000, black, compact, salvage, automatic, coupe,"$8,200 ", 1HGCS2B82CA001446,https://losangeles.craigslist.org/sfv/cto/d/2012-honda-accord-exl-fully/6706067156.html
85,2008 Honda Accord,Honda,Accord,2008, good, 4 cylinders, fwd, gas,140000,,, clean, automatic, sedan,"$5,500 ",,https://losangeles.craigslist.org/lac/cto/d/2008-honda-accord/6705763945.html
86,Honda Accord EX,Honda,Accord,2009, excellent, 6 cylinders, fwd, gas,103000, silver, mid-size, clean, automatic, sedan,"$7,500 ", 1HGCP36799A038057,https://losangeles.craigslist.org/lac/cto/d/honda-accord-ex/6705686822.html
87,2009 Honda  Accord Coupe,Honda,Accord,2009, excellent, 4 cylinders, fwd, gas,57739, silver, compact, clean, automatic, coupe,"$7,200 ",,https://losangeles.craigslist.org/lac/cto/d/2009-honda-accord-coupe/6705518979.html
88,2011 Honda Accord LX,Honda,Accord,2011, good, 4 cylinders, fwd, gas,197355, white, mid-size, clean, automatic, sedan,"$5,500 ", 1HGCP2F38BA040802,https://losangeles.craigslist.org/wst/cto/d/2011-honda-accord-lx/6705297328.html
89,Honda accord coupe v6 6speed,Honda,Accord,2008, good, 6 cylinders,, gas,14000, black,, clean, manual,,"$12,500 ",,https://losangeles.craigslist.org/lac/cto/d/honda-accord-coupe-v6-6speed/6687568275.html
90,"2015 HONDA ACCORD SPORT, MANUAL, LEATHER, 49K MILES",Honda,Accord,2015, excellent, 4 cylinders, fwd, gas,49001, black, full-size, rebuilt, manual, sedan,"$10,990 ", 1HGCR2E59FA040746,https://losangeles.craigslist.org/lac/cto/d/2015-honda-accord-sport/6705035499.html
91,Clean 2012 Honda Accord Coupe,Honda,Accord,2012, like new, 4 cylinders, fwd, gas,90000, grey,, clean, automatic, coupe,"$9,300 ",,https://losangeles.craigslist.org/sfv/cto/d/clean-2012-honda-accord-coupe/6704986651.html
92,Honda Accord 2011,Honda,Accord,2011, like new, 4 cylinders, fwd, gas,144000, grey, full-size, clean, automatic, sedan,"$7,300 ",,https://losangeles.craigslist.org/lac/cto/d/honda-accord-2011/6704948057.html
93,2010 clean title Honda Accord,Honda,Accord,2010, good,,, gas,127000, black,, clean, automatic,,"$4,500 ", 1hgcp2f34aa056185,https://losangeles.craigslist.org/lgb/cto/d/2010-clean-title-honda-accord/6704851152.html
