,VIN,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,Title,Price,links
87,, excellent, 4 cylinders, fwd, gas, 103824, silver, full-size, salvage, automatic, sedan,Toyota Corolla LE 2010,$5200,https://losangeles.craigslist.org/lac/cto/d/toyota-corolla-le-2010/6697458332.html
88,, excellent, 4 cylinders,, gas, 110123,,, clean, automatic,,"2016 Toyota Corolla  LE sedan 4D ""1 owner """"",$10500,https://losangeles.craigslist.org/lac/cto/d/2016-toyota-corolla-le-sedan/6705100777.html
89,, like new, 4 cylinders,, gas, 38207,,, clean, automatic, sedan,2015 Toyota Corolla S - w/ four year Toyota warranty,$14700,https://losangeles.craigslist.org/wst/cto/d/2015-toyota-corolla-four-year/6704734214.html
90, 1NXBU4EE0AZ242768, good, 4 cylinders, fwd, gas, 91840, green, compact, clean, automatic, sedan,2010 Toyota Corolla LE,$7295,https://losangeles.craigslist.org/sfv/cto/d/2010-toyota-corolla-le/6704303209.html
91,, excellent, 4 cylinders, fwd, gas, 63000, black, compact, clean, automatic, sedan,KIA OPTIMA 2011 63000MILES,$9999,https://losangeles.craigslist.org/lac/cto/d/kia-optimamiles/6683598927.html
92,, excellent, 4 cylinders, fwd, gas, 96700, silver, compact, salvage, automatic, sedan,2009 toyota corolla,$5500,https://losangeles.craigslist.org/sfv/cto/d/2009-toyota-corolla/6704272111.html
93,, excellent, 4 cylinders,, gas, 145000, white,, clean, automatic,,2010 Toyota Corolla S,$6400,https://losangeles.craigslist.org/sgv/cto/d/2010-toyota-corolla/6694559687.html
94,, excellent, 4 cylinders,, gas, 68000,,, clean, automatic,,2016 Toyota Corolla Clean Title in great condition,$11900,https://losangeles.craigslist.org/sfv/cto/d/2016-toyota-corolla-clean/6703914481.html
95, 2T1BURHEXFC239099, excellent, 4 cylinders,, gas, 18000, silver, compact, clean, automatic, sedan,2015 Toyota Corolla Eco LE Honda Camry accord civic Nissan Sentra Kia,$13000,https://losangeles.craigslist.org/wst/cto/d/2015-toyota-corolla-eco-le/6678842574.html
96,, good, 4 cylinders,, gas, 17700,,, clean, manual,,2008 Toyota Corolla S,$5800,https://losangeles.craigslist.org/sfv/cto/d/2008-toyota-corolla/6703008839.html
97,, like new, 4 cylinders, fwd, gas, 31692, grey, compact, clean, automatic, sedan,"2010 Corolla - Like New - only 31,700 miles! one owner great condition",$8700,https://losangeles.craigslist.org/sfv/cto/d/2010-corolla-like-new/6679673529.html
98,, excellent,, fwd, gas, 79126, silver, compact, clean, automatic, sedan,2013 Toyota Corolla LE Low Miles,$9200,https://losangeles.craigslist.org/sfv/cto/d/2013-toyota-corolla-le-low/6695166000.html
99,, like new, 4 cylinders, fwd, gas, 32177, white, mid-size, clean, automatic, sedan,2016 TOYOTA Corolla S Plus White Sedan,$13799,https://losangeles.craigslist.org/lac/cto/d/2016-toyota-corolla-plus/6702407355.html
100,, good, 4 cylinders, fwd, gas, 107000, white, compact, salvage, automatic, sedan,2010 Toyota Corolla,$5500,https://losangeles.craigslist.org/sfv/cto/d/2010-toyota-corolla/6695558330.html
101,, good,,, gas, 95500, blue, compact, clean, automatic, sedan,2013 Toyota Corolla,$8500,https://losangeles.craigslist.org/sfv/cto/d/2013-toyota-corolla/6702301985.html
102,, like new, 4 cylinders, fwd, gas, 265000, silver, compact, salvage, automatic, sedan,Toyota Corolla S 2015,$9500,https://losangeles.craigslist.org/lac/cto/d/toyota-corolla-2015/6700921416.html
103,, excellent, 4 cylinders, fwd, gas, 55000,,, clean, automatic,,2014 Toyota Corolla S Premium Sedan 4D ** FOR SALE BY OWNER **,$14000,https://losangeles.craigslist.org/sfv/cto/d/2014-toyota-corolla-premium/6700802196.html
