,Title,Make,Model,Year,condition,cylinders,drive,fuel,odometer,paint color,size,title status,transmission,type,Price,VIN,Link
151,2009 Toyota Prius clean title clean carfax camera 178k,Toyota,Prius,2009, excellent, 4 cylinders, fwd, hybrid, 178925,, compact, clean, automatic, hatchback,$4300,,https://losangeles.craigslist.org/wst/cto/d/2009-toyota-prius-clean-title/6704579354.html
152,2010 TOYOTA PRIUS IV WHITE COLOR,Toyota,Prius,2010, excellent,,, gas, 72000, white, full-size, salvage, automatic, sedan,$8300,,https://losangeles.craigslist.org/sfv/cto/d/2010-toyota-prius-iv-white/6704265248.html
153,2010 TOYOTA PRIUS IV WHITE COLOR,Toyota,Prius,2010, excellent,,, gas, 72000, white, full-size, salvage, automatic, sedan,$8300,,https://losangeles.craigslist.org/sfv/cto/d/2010-toyota-prius-iv-white/6704265024.html
154,2014 TOYOTA PRIUS C CLEAN TITLE,Toyota,Prius,2014, excellent, 4 cylinders, fwd, gas, 59000, grey,, clean, automatic,,$10500,,https://losangeles.craigslist.org/wst/cto/d/2014-toyota-prius-clean-title/6678481430.html
155,2008 Toyota Prius Low Miles 60k Hybrid,Toyota,Prius,2008, good, 4 cylinders, fwd, hybrid, 60000, grey, compact, salvage, automatic, hatchback,$6100,,https://losangeles.craigslist.org/lgb/cto/d/2008-toyota-prius-low-miles/6696462113.html
156,2009 TOYOTA PRIUS HYBRID,Toyota,Prius,2009, good, 4 cylinders, fwd, hybrid, 98434, blue, compact, clean, automatic, sedan,$5300, JN34M3MLS4345KM,https://losangeles.craigslist.org/lac/cto/d/2009-toyota-prius-hybrid/6700095358.html
157,2010 Toyota Prius Two,Toyota,Prius,2010, excellent, 4 cylinders, fwd, hybrid, 46333, grey, full-size, clean, automatic, hatchback,$10800,,https://losangeles.craigslist.org/lac/cto/d/2010-toyota-prius-two/6703790611.html
158,2015 Prius Hybrid-Salvage Title,Toyota,Prius,2015, like new, 4 cylinders, fwd, gas, 19786, white, mid-size, salvage, automatic, hatchback,$13500, JTDKN3DU7F0465487,https://losangeles.craigslist.org/sfv/cto/d/2015-prius-hybrid-salvage/6703313475.html
159,"Toyota Prius 99k mi, price lowered",Toyota,Prius,2012, good,,, hybrid, 99600,,, clean, automatic,,$8900, JTDKN3DUXC5446236,https://losangeles.craigslist.org/sfv/cto/d/toyota-prius-99k-mi-price/6700013461.html
160,2015 Toyota Prius,Toyota,Prius,2015, excellent,,, hybrid, 61512, grey,, salvage, automatic,,$8950,,https://losangeles.craigslist.org/sfv/cto/d/2015-toyota-prius/6703255612.html
161,2014 Toyota Prius (75k miles),Toyota,Prius,2014, good, 4 cylinders, fwd, gas, 75000, grey, compact, clean, automatic, hatchback,$13500, Jtdkn3du4e0358458,https://losangeles.craigslist.org/lac/cto/d/2014-toyota-prius-75k-miles/6697779240.html
162,2015 Pristine Toyota Prius,Toyota,Prius,2015, excellent, 4 cylinders, fwd, hybrid, 70233, grey, compact, clean, automatic, sedan,$15500, JTDKN3DUF192638,https://losangeles.craigslist.org/lac/cto/d/2015-pristine-toyota-prius/6703095044.html
163,2010 Prius,Toyota,Prius,2010, excellent, 4 cylinders, fwd, hybrid, 230000, red, compact, clean, automatic, hatchback,$5499,,https://losangeles.craigslist.org/sgv/cto/d/2010-prius/6702986240.html
164,Toyota Prius / Hybrid / White Pearl,Toyota,Prius,2011, excellent, 4 cylinders,, hybrid, 125990, white, compact, clean, automatic, hatchback,$8900, JTDKN3DUXB0280330,https://losangeles.craigslist.org/sfv/cto/d/toyota-prius-hybrid-white/6681473211.html
165,2008 Toyota Prius Hybrid,Toyota,Prius,2008, good, 4 cylinders,, hybrid, 370000,,, clean, automatic, sedan,$2200,,https://losangeles.craigslist.org/lac/cto/d/2008-toyota-prius-hybrid/6702546069.html
166,2013 TOYOTA PRIUS V Van ONLY 25K ORIGINAL MILES,Toyota,Prius,2013, like new, 4 cylinders, fwd, hybrid, 25000, red, compact, salvage, automatic, van,$11650,,https://losangeles.craigslist.org/sfv/cto/d/2013-toyota-prius-van-only/6691307524.html
167,Hybrid Toyota Prius,Toyota,Prius,2010, good, 4 cylinders, fwd, hybrid, 107000, black, compact, clean, automatic, hatchback,$10500, JTDKN3DU9A5182911,https://losangeles.craigslist.org/lgb/cto/d/hybrid-toyota-prius/6702224487.html
168,Toyota Prius 2015,Toyota,Prius,2015, good,,, hybrid, 48000,,, salvage, automatic,,$8600,,https://losangeles.craigslist.org/lac/cto/d/toyota-prius-2015/6702168901.html
169,2015 TOYOTA PRIUS C,Toyota,Prius,2015, like new, 4 cylinders, fwd, hybrid, 65000, silver, compact, clean, automatic, sedan,$11850,,https://losangeles.craigslist.org/lac/cto/d/2015-toyota-prius/6701679492.html
170,2012 TOYOTA PRIUS THREE HATCHBACK 4D,Toyota,Prius,2012, excellent, 4 cylinders, fwd, hybrid, 108349, silver, mid-size, clean, automatic, hatchback,$9499, JTDKN3DU9C1481213,https://losangeles.craigslist.org/lac/cto/d/2012-toyota-prius-three/6676524595.html
171,2010 Toyota Yaris,Toyota,Prius,2010, excellent, 4 cylinders, fwd, hybrid, 150000, silver,, clean, automatic, hatchback,$8000,,https://losangeles.craigslist.org/sfv/cto/d/2010-toyota-yaris/6700804313.html
172,Toyota Prius Plug-In Hybrid 2012,Toyota,Prius,2012, excellent, 4 cylinders, fwd, hybrid, 114500, blue, compact, clean, automatic, hatchback,$9500, JTDKN3DP6C3007718,https://losangeles.craigslist.org/lgb/cto/d/toyota-prius-plug-in-hybrid/6700758415.html
173,2015 TOYOTA PRIUS C,Toyota,Prius,2015, like new, 4 cylinders, fwd, hybrid, 65000, silver, compact, clean, automatic, sedan,$11850,,https://losangeles.craigslist.org/lac/cto/d/2015-toyota-prius/6700683484.html
174,2017 Toyota Prius Four in EXCELLENT Condtion,Toyota,Prius,2017, excellent,,, hybrid, 16000, silver,, clean, automatic,,$24995, JTDKARFU0H3046524,https://losangeles.craigslist.org/sfv/cto/d/2017-toyota-prius-four-in/6692238338.html
175,EXCELLENT 2013 WHITE PRIUS HYBRID 33Kmiles w/Navigation,Toyota,Prius,2013, excellent, 4 cylinders,, hybrid, 33000, white,, clean, automatic,,$15500, JTDKN3DU0D5678040,https://losangeles.craigslist.org/wst/cto/d/excellent-2013-white-prius/6700614476.html
176,EXCELLENT 2013 WHITE PRIUS HYBRID 33Kmiles w/Navigation,Toyota,Prius,2013, excellent, 4 cylinders,, hybrid, 33000, white,, clean, automatic,,$15500, JTDKN3DU0D5678040,https://losangeles.craigslist.org/wst/cto/d/excellent-2013-white-prius/6700614140.html
177,2013 WHITE PRIUS w/ Navigation HYBRID 33K Miles BK Excellent Condition,Toyota,Prius,2013, excellent, 4 cylinders,, hybrid, 33000, white,, clean, automatic,,$15500, JTDKN3DUOD5678040,https://losangeles.craigslist.org/wst/cto/d/2013-white-prius-navigation/6700613836.html
178,EXCELLENT 2013 WHITE PRIUS HYBRID 33Kmiles w/Navigation,Toyota,Prius,2013, excellent, 4 cylinders,, hybrid, 33000, white,, clean, automatic,,$15500, JTDKN3DU0D5678040,https://losangeles.craigslist.org/wst/cto/d/excellent-2013-white-prius/6700613615.html
179,Toyota Prius 2010~Clean title~54mpg~Tag jun 2019+Smog+GPS=ESPECIAL,Toyota,Prius,2010, excellent, 4 cylinders, fwd, gas, 75319, black, mid-size, clean, automatic, sedan,$8990,,https://losangeles.craigslist.org/wst/cto/d/toyota-prius-2010clean/6700480846.html
180,2010 toyota prius,Toyota,Prius,2010, excellent, 4 cylinders, fwd, hybrid, 135000, white, sub-compact, clean, automatic, hatchback,$7999,,https://losangeles.craigslist.org/lac/cto/d/2010-toyota-prius/6700439745.html
181,2014 Prius For Sale,Toyota,Prius,2014, excellent, 4 cylinders, fwd, hybrid, 72254, black,, clean, automatic, hatchback,$13500, JTDKN3DU1E1743308,https://losangeles.craigslist.org/sfv/cto/d/2014-prius-for-sale/6700276706.html
182,2015 Toyota Prius Four *EXCELLENT CONDITION* Includes 2 year warranty!,Toyota,Prius,2015, excellent,,, hybrid, 63000, black,, clean, automatic, hatchback,$17999,,https://losangeles.craigslist.org/lac/cto/d/2015-toyota-prius-four/6691265554.html
